page,clicks,impressions,ctr,position
https://www.kotacom.id/rekomendasi-rakit-pc-5-jutaan,334,58773,0.005682881595290354,13.643475745665526
https://www.kotacom.id/jasa-instal-aplikasi-surabaya,248,6624,0.03743961352657005,16.892059178743963
https://www.kotacom.id/,226,9989,0.022624887376113727,11.754329762739014
https://www.kotacom.id/jasa-cetak-buku-surabaya,207,14750,0.014033898305084745,12.891254237288136
https://www.kotacom.id/jasa-rakit-pc-surabaya-murah,196,9781,0.020038850833248134,17.176055618034965
https://www.kotacom.id/jual-dvd-game-surabaya-jasa-install-game-pc-surabaya-terbaru,183,5240,0.034923664122137404,12.693893129770993
https://www.kotacom.id/download-pes-2016-iso-game-pc,174,2253,0.07723035952063914,17.08566355969818
https://www.kotacom.id/jasa-install-game-dan-isi-game-surabaya,106,2641,0.040136312003029154,13.568723968193867
https://www.kotacom.id/jasa-install-software-macbook,100,1456,0.06868131868131869,22.882554945054945
https://www.kotacom.id/jasa-mengembalikan-data-terhapus-surabaya,99,2385,0.04150943396226415,21.758490566037736
https://www.kotacom.id/jual-game-pc-jakarta,88,1661,0.052980132450331126,17.749548464780254
https://www.kotacom.id/jasa-root-android-surabaya-no-root-free-bisa-unlock-custom-rom-juga,75,2225,0.033707865168539325,27.461573033707865
https://www.kotacom.id/jasa-recovery-data-surabaya,66,5126,0.012875536480686695,31.24483027701912
https://www.kotacom.id/jasa-isi-film-surabaya-full-hd-hd-2k-4k-semua-genre,62,405,0.15308641975308643,12.716049382716049
https://www.kotacom.id/jasa-flash-hp-surabaya,56,2215,0.02528216704288939,27.296162528216705
https://www.kotacom.id/jasa-install-linux-install-server-linux,51,1072,0.04757462686567164,12.25839552238806
https://www.kotacom.id/jasa-isi-lagu-karaoke-surabaya,48,1600,0.03,18.185625
https://www.kotacom.id/service-laptop-asus-surabaya,44,8907,0.004939934882676546,11.20826316380375
https://www.kotacom.id/download-iso-windows-10-terbaru,43,3464,0.012413394919168591,44.46189376443418
https://www.kotacom.id/jasa-install-macbook-bootcamp-surabaya,43,1294,0.03323029366306028,17.4064914992272
https://www.kotacom.id/jasa-rakit-pc-surabaya-gresik-malang-sidoarjo,43,3596,0.011957730812013349,17.0734149054505
https://www.kotacom.id/rekomendasi-pc-5-jutaan-terbaik-2025-untuk-desain-grafis-maksimal-produktivitas-minimal-anggaran,39,1992,0.01957831325301205,18.789156626506024
https://www.kotacom.id/digital-product/jual-dvd-game-surabaya-jasa-install-game-pc-surabaya-terbaru,38,929,0.04090419806243272,10.639397201291711
https://www.kotacom.id/it-services/jasa-install-game-dan-isi-game-surabaya,35,568,0.061619718309859156,8.237676056338028
https://www.kotacom.id/jasa-cetak-buku-dari-pdf-surabaya,33,1103,0.029918404351767906,20.473254759746148
https://www.kotacom.id/service-hp-surabaya-service-android-surabaya,32,1683,0.019013666072489603,20.67023172905526
https://www.kotacom.id/download-custom-rom-s10-plus-romofficial-lineageos-20-for-galaxy-s10e-s10-s10-s10-5g-exynos,31,779,0.03979460847240052,27.686777920410783
https://www.kotacom.id/tempat-isi-game-pc-surabaya,31,482,0.06431535269709543,11.817427385892117
https://www.kotacom.id/jasa-install-software-microsoft-office,30,1905,0.015748031496062992,19.73438320209974
https://www.kotacom.id/jasa-install-autocad,29,790,0.03670886075949367,10.540506329113924
https://www.kotacom.id/jasa-isi-laptop-komputer-hardisk-lagu-karaoke-surabaya-sidoarjo,29,902,0.03215077605321508,21.20620842572062
https://www.kotacom.id/terbaik-jual-game-pc-cirebon,29,603,0.04809286898839138,16.859038142620232
https://www.kotacom.id/pasang-alarm-motor-surabaya-pasang-gps-motor-surabaya,28,729,0.038408779149519894,20.732510288065846
https://www.kotacom.id/jasa-install-software-kasir-cloud-bisa-online-ipos-5-surabaya,27,1272,0.02122641509433962,22.95204402515723
https://www.kotacom.id/jasa-pasang-peredam-suara-surabaya-karaoke-home-theater,25,1379,0.018129079042784626,38.90065264684554
https://www.kotacom.id/paket-home-karaoke-eksklusif-vip-laptop-komputer-jasa-pemasangan,24,837,0.02867383512544803,28.36320191158901
https://www.kotacom.id/percetakan-buku-murah-surabaya,24,1112,0.02158273381294964,19.359712230215827
https://www.kotacom.id/panduan-rakit-pc-3-jutaan-terbaik-update-2025-all-new-build,22,1853,0.011872638963842417,14.840798704803023
