query,clicks,impressions,ctr,position
kotakom surabaya,54,623,0.08667736757624397,4.011235955056179
kotacom,53,566,0.09363957597173145,2.34982332155477
jasa rakit pc surabaya,46,485,0.09484536082474226,6.59381443298969
kotakom,43,721,0.059639389736477116,4.522884882108183
rakit pc surabaya,41,1402,0.029243937232524966,9.153352353780313
percetakan buku surabaya,27,545,0.04954128440366973,5.647706422018349
cetak buku satuan surabaya,25,310,0.08064516129032258,4.538709677419355
cetak buku surabaya,21,519,0.04046242774566474,9.834296724470136
pc 5 jutaan,21,1552,0.013530927835051547,8.422036082474227
pc desain grafis 5 jutaan,21,259,0.08108108108108109,3.9034749034749034
pc harga 5 jutaan,19,818,0.023227383863080684,7.0623471882640585
pc gaming 5 jutaan fullset,18,718,0.025069637883008356,7.571030640668524
download pes 2016 pc,16,140,0.11428571428571428,18.764285714285716
jual game pc,13,124,0.10483870967741936,11.975806451612904
sewa macbook surabaya,13,121,0.10743801652892562,6.933884297520661
isi game pc surabaya,11,28,0.39285714285714285,3.25
jasa recovery data surabaya,10,310,0.03225806451612903,10.225806451612904
rakit pc 3 jutaan 2025,10,58,0.1724137931034483,3.603448275862069
download pes 2016,9,171,0.05263157894736842,36.37426900584796
isi game pc terdekat,9,497,0.018108651911468814,10.28169014084507
jasa isi game pc terdekat,9,206,0.043689320388349516,8.91747572815534
jasa rakit pc,9,1331,0.0067618332081141996,12.359128474830953
pes 2016 pc download,9,160,0.05625,14.18125
jasa instal software terdekat,8,283,0.028268551236749116,9.30035335689046
pc gaming fullset 5 jutaan,8,590,0.013559322033898305,8.216949152542373
pc rakitan 5 jutaan,8,302,0.026490066225165563,7.78476821192053
pes 2016 iso,8,194,0.041237113402061855,13.860824742268042
jasa install windows surabaya,7,1089,0.006427915518824609,8.905417814508723
komputer harga 5 jutaan,7,360,0.019444444444444445,7.191666666666666
pc rakitan surabaya,7,166,0.04216867469879518,13.975903614457831
rakit komputer surabaya,7,200,0.035,9.59
windows 10 iso,7,572,0.012237762237762238,37.81293706293706
custom rom samsung s10 plus,6,50,0.12,8.66
download windows 10 iso,6,342,0.017543859649122806,43.485380116959064
iso windows 10,6,367,0.01634877384196185,39.80381471389646
