Path,Status,GSC_URL,Clicks,Impressions,Redirect_Destination
"/rekomendasi-rakit-pc-5-jutaan","Both","https://www.kotacom.id/rekomendasi-rakit-pc-5-jutaan","334","58773",""
"/jasa-instal-aplikasi-surabaya","Both","https://www.kotacom.id/jasa-instal-aplikasi-surabaya","248","6624",""
"/","Both","https://www.kotacom.id/","226","9989",""
"/jasa-cetak-buku-surabaya","Both","https://www.kotacom.id/jasa-cetak-buku-surabaya","207","14750","/"
"/jasa-rakit-pc-surabaya-murah","Both","https://www.kotacom.id/jasa-rakit-pc-surabaya-murah","196","9781",""
"/jual-dvd-game-surabaya-jasa-install-game-pc-surabaya-terbaru","Both","https://www.kotacom.id/jual-dvd-game-surabaya-jasa-install-game-pc-surabaya-terbaru","183","5240",""
"/download-pes-2016-iso-game-pc","Both","https://www.kotacom.id/download-pes-2016-iso-game-pc","174","2253",""
"/jasa-install-game-dan-isi-game-surabaya","Both","https://www.kotacom.id/jasa-install-game-dan-isi-game-surabaya","106","2641",""
"/jasa-install-software-macbook","Both","https://www.kotacom.id/jasa-install-software-macbook","100","1456",""
"/jasa-mengembalikan-data-terhapus-surabaya","Both","https://www.kotacom.id/jasa-mengembalikan-data-terhapus-surabaya","99","2385",""
"/jual-game-pc-jakarta","Both","https://www.kotacom.id/jual-game-pc-jakarta","88","1661",""
"/jasa-root-android-surabaya-no-root-free-bisa-unlock-custom-rom-juga","Both","https://www.kotacom.id/jasa-root-android-surabaya-no-root-free-bisa-unlock-custom-rom-juga","75","2225",""
"/jasa-recovery-data-surabaya","Both","https://www.kotacom.id/jasa-recovery-data-surabaya","66","5126",""
"/jasa-isi-film-surabaya-full-hd-hd-2k-4k-semua-genre","Both","https://www.kotacom.id/jasa-isi-film-surabaya-full-hd-hd-2k-4k-semua-genre","62","405",""
"/jasa-flash-hp-surabaya","Both","https://www.kotacom.id/jasa-flash-hp-surabaya","56","2215",""
"/jasa-install-linux-install-server-linux","Both","https://www.kotacom.id/jasa-install-linux-install-server-linux","51","1072",""
"/jasa-isi-lagu-karaoke-surabaya","Both","https://www.kotacom.id/jasa-isi-lagu-karaoke-surabaya","48","1600",""
"/service-laptop-asus-surabaya","Both","https://www.kotacom.id/service-laptop-asus-surabaya","44","8907",""
"/download-iso-windows-10-terbaru","Both","https://www.kotacom.id/download-iso-windows-10-terbaru","43","3464",""
