page,oldPath,clicks,impressions,priorityScore,seoPriorityAction,migrationAction,suggestedTargetPath,legacyType,mappingConfidence,verdict,indexingState,coverageState,inspectionError,statusCode,title,metaDescription,canonical,robots,metadataIssues,fetchError,readiness
https://www.kotacom.id/product-tag/jual-pc-rakitan-banyuwangi,/product-tag/jual-pc-rakitan-banyuwangi,0,9,15.13,improve_then_migrate,review_manual,,other_nested,low,NEUTRAL,INDEXING_STATE_UNSPECIFIED,URL tidak dikenali oleh Google,,404,404 - Page Not Found - kotacom.id,"IT Service &#38; Publications - Pengadaan, Service, Penjualan, Website Development, Software Development, Social Media Management",https://kotacom.id/404/,"index, follow",http_status_not_200,,manual_mapping_required
https://www.kotacom.id/product-tag/jual-pc-rakitan-murah-ponorogo/page/2,/product-tag/jual-pc-rakitan-murah-ponorogo/page/2,0,11,15.06,improve_then_migrate,review_manual,,other_nested,low,NEUTRAL,INDEXING_STATE_UNSPECIFIED,URL tidak dikenali oleh Google,,404,404 - Page Not Found - kotacom.id,"IT Service &#38; Publications - Pengadaan, Service, Penjualan, Website Development, Software Development, Social Media Management",https://kotacom.id/404/,"index, follow",http_status_not_200,,manual_mapping_required
https://www.kotacom.id/product/pc-gaming-intel-core-i5-4460-ram-16gb-vga-rx-4gb-ddr5-ssd-512gb,/product/pc-gaming-intel-core-i5-4460-ram-16gb-vga-rx-4gb-ddr5-ssd-512gb,0,78,15.06,improve_then_migrate,review_manual,,other_nested,low,NEUTRAL,INDEXING_STATE_UNSPECIFIED,URL tidak dikenali oleh Google,,404,404 - Page Not Found - kotacom.id,"IT Service &#38; Publications - Pengadaan, Service, Penjualan, Website Development, Software Development, Social Media Management",https://kotacom.id/404/,"index, follow",http_status_not_200,,manual_mapping_required
https://www.kotacom.id/product-tag/jual-pc-rakitan-murah-situbondo,/product-tag/jual-pc-rakitan-murah-situbondo,0,7,15.01,improve_then_migrate,review_manual,,other_nested,low,NEUTRAL,INDEXING_STATE_UNSPECIFIED,URL tidak dikenali oleh Google,,404,404 - Page Not Found - kotacom.id,"IT Service &#38; Publications - Pengadaan, Service, Penjualan, Website Development, Software Development, Social Media Management",https://kotacom.id/404/,"index, follow",http_status_not_200,,manual_mapping_required
https://www.kotacom.id/product-tag/jual-pc-rakitan-murah-ngawi/page/2,/product-tag/jual-pc-rakitan-murah-ngawi/page/2,0,1,15,improve_then_migrate,review_manual,,other_nested,low,NEUTRAL,INDEXING_STATE_UNSPECIFIED,URL tidak dikenali oleh Google,,404,404 - Page Not Found - kotacom.id,"IT Service &#38; Publications - Pengadaan, Service, Penjualan, Website Development, Software Development, Social Media Management",https://kotacom.id/404/,"index, follow",http_status_not_200,,manual_mapping_required
https://www.kotacom.id/product/pc-cpu-intel-core-i7-3770-ram-16gb-hdd-1tb-ssd-garansi-1-tahun-vurrion-kr22-hdd-500gb,/product/pc-cpu-intel-core-i7-3770-ram-16gb-hdd-1tb-ssd-garansi-1-tahun-vurrion-kr22-hdd-500gb,0,1,15,improve_then_migrate,review_manual,,other_nested,low,NEUTRAL,INDEXING_STATE_UNSPECIFIED,URL tidak dikenali oleh Google,,404,404 - Page Not Found - kotacom.id,"IT Service &#38; Publications - Pengadaan, Service, Penjualan, Website Development, Software Development, Social Media Management",https://kotacom.id/404/,"index, follow",http_status_not_200,,manual_mapping_required
https://www.kotacom.id/product/update-lagu-karaoke-khusus-hardisk-2tb-0,/product/update-lagu-karaoke-khusus-hardisk-2tb-0,0,1,15,improve_then_migrate,review_manual,,other_nested,low,NEUTRAL,INDEXING_STATE_UNSPECIFIED,URL tidak dikenali oleh Google,,404,404 - Page Not Found - kotacom.id,"IT Service &#38; Publications - Pengadaan, Service, Penjualan, Website Development, Software Development, Social Media Management",https://kotacom.id/404/,"index, follow",http_status_not_200,,manual_mapping_required
https://www.kotacom.id/tag/jasa-pasang-software-kasir-surabaya,/tag/jasa-pasang-software-kasir-surabaya,0,4,15,improve_then_migrate,review_manual,,other_nested,low,NEUTRAL,INDEXING_STATE_UNSPECIFIED,URL tidak dikenali oleh Google,,404,404 - Page Not Found - kotacom.id,"IT Service &#38; Publications - Pengadaan, Service, Penjualan, Website Development, Software Development, Social Media Management",https://kotacom.id/404/,"index, follow",http_status_not_200,,manual_mapping_required
https://www.kotacom.id/tag/jasa-rakit-pc-murah-pacitan,/tag/jasa-rakit-pc-murah-pacitan,0,1,15,improve_then_migrate,review_manual,,other_nested,low,NEUTRAL,INDEXING_STATE_UNSPECIFIED,URL tidak dikenali oleh Google,,404,404 - Page Not Found - kotacom.id,"IT Service &#38; Publications - Pengadaan, Service, Penjualan, Website Development, Software Development, Social Media Management",https://kotacom.id/404/,"index, follow",http_status_not_200,,manual_mapping_required
https://www.kotacom.id/tag/jasa-rakit-pc-server-unbk-murah-ngawi,/tag/jasa-rakit-pc-server-unbk-murah-ngawi,0,1,15,improve_then_migrate,review_manual,,other_nested,low,NEUTRAL,INDEXING_STATE_UNSPECIFIED,URL tidak dikenali oleh Google,,404,404 - Page Not Found - kotacom.id,"IT Service &#38; Publications - Pengadaan, Service, Penjualan, Website Development, Software Development, Social Media Management",https://kotacom.id/404/,"index, follow",http_status_not_200,,manual_mapping_required
https://www.kotacom.id/tag/pc-karaoke-murah-ponorogo,/tag/pc-karaoke-murah-ponorogo,0,1,15,improve_then_migrate,review_manual,,other_nested,low,NEUTRAL,INDEXING_STATE_UNSPECIFIED,URL tidak dikenali oleh Google,,404,404 - Page Not Found - kotacom.id,"IT Service &#38; Publications - Pengadaan, Service, Penjualan, Website Development, Software Development, Social Media Management",https://kotacom.id/404/,"index, follow",http_status_not_200,,manual_mapping_required
https://www.kotacom.id/tag/service-laptop-murah-nganjuk,/tag/service-laptop-murah-nganjuk,0,1,15,improve_then_migrate,review_manual,,other_nested,low,NEUTRAL,INDEXING_STATE_UNSPECIFIED,URL tidak dikenali oleh Google,,404,404 - Page Not Found - kotacom.id,"IT Service &#38; Publications - Pengadaan, Service, Penjualan, Website Development, Software Development, Social Media Management",https://kotacom.id/404/,"index, follow",http_status_not_200,,manual_mapping_required
https://www.kotacom.id/tag/service-pc-murah-jember,/tag/service-pc-murah-jember,0,1,15,improve_then_migrate,review_manual,,other_nested,low,NEUTRAL,INDEXING_STATE_UNSPECIFIED,URL tidak dikenali oleh Google,,404,404 - Page Not Found - kotacom.id,"IT Service &#38; Publications - Pengadaan, Service, Penjualan, Website Development, Software Development, Social Media Management",https://kotacom.id/404/,"index, follow",http_status_not_200,,manual_mapping_required
